inETIP,subcategory,company,website,country,code_sig,network_sig,documentation,potential maven page,potential maven repo,potential github
ETIP,,ATInternet,atinternet.com/en,,com.atinternet.,ati-host\.net,,,,https://github.com/atinternet
,Mobile Apps,Attendify,attendify.com,,com.attendify.android.app.,,,,,https://github.com/attendify
,Mobile Marketing,Attentive,attentivemobile.com,,,,,,,
ETIP,,Auditude,adobe.com/privacy/policies/auditude.html,,com.auditude.ads,auditude.com,,,,
,,Augme Technologies,augme.com,USA,,,,,,
,Mobile Apps,Augur,augur.io,,io.augur.,,,,,https://github.com/augur
ETIP,Mobile Marketing,Avazu,avazuinc.com,China,,,,,,
,Mobile Marketing,AvidMobile,avidmobile.com,,,,,,,
,Mobile Marketing,avocarrot,market-group.com,,,,,,,https://github.com/market-group
ETIP,Mobile Marketing,Axonix(mobclix),axonix.com|velti.com/mobclix.php,USA,com.axonix.android.sdk|com.mobclix.android.sdk,,,,,
,Mobile Apps,Azetone,azetone.com,,com.azetone.,,,,,https://github.com/azetone
ETIP,,Backelite,backelite.com,,com.backelite,,,,,
,CRM,Backstop Solutions Group,backstopsolutions.com,,,,,,,
ETIP,,Backtrace,backtrace.io,,,,,,,
ETIP,,Baidu APPX,app.baidu.com,,com.baidu.appx,,,,,
ETIP,,Baidu Location,developer.baidu.com,,com.baidu.location,,,,,
ETIP,,Baidu Map,lbsyun.baidu.com,,com.baidu.mapapi,,,,,
ETIP,,Baidu Maps,map.baidu.com,,com.baidu.baidumap,,,,,
ETIP,,Baidu Mobile Ads,developer.baidu.com,,com.baidu.mobads,,,,,
ETIP,,Baidu Mobile Stat,developer.baidu.com,,com.baidu.mobstat,,,,,
ETIP,,Baidu Navigation,lbsyun.baidu.com/index.php?title=android-navsdk,,com.baidu.navi,,,,,
,,Bango,bango.com,USA,,,,,,https://github.com/bango
,Mobile & Web Analytics,Baremetrics,baremetrics.com,,,,,,,https://github.com/baremetrics
ETIP,Mobile Marketing,Batch,batch.com,,com.batch.android,,,,,
ETIP,Community & Reviews,BazaarVoice,bazaarvoice.com,,com.bazaarvoice.bvandroidsdk,,,,,
ETIP,DMP,Beaconinside Proximity Dmp,beaconinside.com,,,,,,,
ETIP,,BeaconsInSpace (Fysical),beaconsinspace.com,,com.beaconsinspace.android.beacon.detector.,,,,,
ETIP,Retail Proximity & IoT Marketing,Beaconstac,beaconstac.com,,,,,,,
,,Bee7,bee7.com,,com.bee7.sdk,,,,,https://github.com/bee7
ETIP,,Beemray,beemray.com,,com.beemray.,,,,,
ETIP,,Beintoo,beintoo.com,Italy,com.beintoo.beaudiencesdk,,,https://bintray.com/beintoo,,https://github.com/beintoo
,Mobile Marketing,Bidsopt,bidsopt.com,,,,,,,https://github.com/bidsopt
,Native/Content Advertising,Bidtellect,bidtellect.com,,,,,,,https://github.com/bidtellect
,,Bitbar,,,,,,,,https://github.com/Bitbar
